Year,Month,NDVI,Rainfall_mm
2020,1,-0.3365203606809119,14.13880279133856
2020,2,-0.344135616259153,7.683704945304946
2020,3,-0.22560151094750566,56.44007378112254
2020,4,-0.19257820018011698,194.74503226201443
2020,5,-0.2536592263513598,119.21797319371684
2020,6,-0.11799352849760288,69.18195188961913
2020,7,-0.2237508346683529,25.653258548455437
2020,8,-0.21642398333246232,41.881463861526036
2020,9,-0.18027332223229628,15.54488401855265
2020,10,-0.29489225452741075,268.2647191143702
2020,11,-0.4156971398528729,19.07892750118406
2020,12,-0.4138977042332684,21.25661925348575
2021,1,-0.3049835739433579,6.7001721946832635
2021,2,-0.23612616482125254,9.253902763696304
2021,3,-0.17342096619030103,18.840780164568365
2021,4,-0.16826938575573946,99.532581844657
2021,5,-0.1814975009384583,150.8139531185242
2021,6,-0.041829717257797605,25.28642657266639
2021,7,-0.19831989434011638,22.154295527495755
2021,8,-0.17977187232145447,15.291486865531986
2021,9,-0.15184111258130517,21.88799979483763
2021,10,-0.26576198828385256,40.71070199939771
2021,11,-0.32219490524058475,17.115249283886317
2021,12,-0.27496542978202887,6.907121834942771
2022,1,-0.2977149937899892,19.119418065611566
2022,2,-0.3320088532841308,4.310260812996908
2022,3,-0.1871330789015105,19.605114609646826
2022,4,-0.16703854893348288,151.11832324795074
2022,5,-0.20129400171173903,71.2228518513894
2022,6,-0.26030357026953765,27.96624095679238
2022,7,-0.27917372871074414,16.395664703437
2022,8,-0.22796095920709183,24.5539477801535
2022,9,-0.18783334179762312,21.880291470419376
2022,10,-0.1676328776173931,85.44788554814446
2022,11,-0.2919757065757644,18.94744018799468
2022,12,-0.37748664357659084,16.9105793384615
2023,1,-0.2957839532099181,5.826491479800949
2023,2,-0.3089755557065785,2.467596163743636
2023,3,-0.23647918212883554,36.510980063048216
2023,4,-0.21090635832306107,299.4569614082007
2023,5,-0.2978405053019753,58.98429278527614
2023,6,-0.3460068476753352,26.905580225863332
2023,7,-0.27734784635158605,16.39560756113811
2023,8,-0.22980027790955426,15.559732437133789
2023,9,-0.22791504138326146,7.866359905487699
2023,10,-0.17594573581922976,270.29972878132565
2023,11,,43.300502669856684
2023,12,-0.32750312068569065,13.723829342419188
2024,1,-0.39858382298694367,16.621372490704744
2024,2,-0.36013414600399524,21.53331848081518
2024,3,-0.18139455583892586,18.313124021096332
2024,4,-0.3677786225471986,355.60910967087045
2024,5,-0.25398208466993605,103.61036270739466
2024,6,-0.23495155937461842,25.610869022912265
2024,7,-0.25611748564344544,43.57978643274367
2024,8,-0.16716373041548124,33.840302188418036
2024,9,-0.1326916028541952,29.946730997713974
2024,10,-0.1399451202714967,163.33716335896463
2024,11,,69.88237936433116
2024,12,-0.32545572751497687,6.107789210776361
2025,1,-0.3000926924073868,6.895888196164801
2025,2,-0.20211430126371188,3.2246974842123484
2025,3,-0.21682313841889345,38.291220483513314
2025,4,-0.19220191004869425,156.71246635383693
2025,5,-0.2084862430463776,120.62392836036705
2025,6,-0.19497052979552962,22.091249954897382
2025,7,-0.14549826792825968,15.21114311330352
2025,8,-0.15297218754363662,60.47597357430028
2025,9,-0.14634363403965694,10.310012844950906
2025,10,-0.18796437310547423,326.7140571079495
2025,11,-0.2797317993130745,8.537774425904056
2025,12,-0.23518394216463936,33.91600823129753
2026,1,-0.2637664552672644,2.371691906467326
2026,2,-0.14529865785399804,16.171143042086946
2026,3,-0.11777105530019555,73.0955796905212
2026,4,,64.61255170944534
2026,5,-0.1552066436896548,118.97688189386952
2026,6,-0.19744069813720236,18.852401012386725
2026,7,-0.2091954975799765,
2026,8,-0.2272708335664031,
