Year,Month,Predicted_NDWI
2026,8,-0.3251
2026,9,-0.3103
2026,10,-0.276
2026,11,-0.2697
2026,12,-0.2499
2027,1,-0.328
2027,2,-0.3409
2027,3,-0.358
2027,4,-0.3699
2027,5,-0.3663
2027,6,-0.3413
2027,7,-0.3437
2027,8,-0.3251
2027,9,-0.3103
2027,10,-0.276
2027,11,-0.2697
2027,12,-0.2499
