Year,Month,Predicted_NDWI
2026,9,-0.3345
2026,10,-0.3316
2026,11,-0.3193
2026,12,-0.2925
2027,1,-0.3551
2027,2,-0.3499
2027,3,-0.3647
2027,4,-0.362
2027,5,-0.3526
2027,6,-0.3561
2027,7,-0.33
2027,8,-0.3334
2027,9,-0.3345
2027,10,-0.3316
2027,11,-0.3193
2027,12,-0.2925
