Year,Month,Predicted_NDWI
2026,9,-0.3583
2026,10,-0.36
2026,11,-0.3669
2026,12,-0.3662
2027,1,-0.3419
2027,2,-0.3364
2027,3,-0.3452
2027,4,-0.4053
2027,5,-0.4114
2027,6,-0.4006
2027,7,-0.3709
2027,8,-0.3564
2027,9,-0.3583
2027,10,-0.36
2027,11,-0.3669
2027,12,-0.3662
