Lake,Images,Average NDWI
Baringo,16,0.3218249358455144
Bogoria,16,-0.3544297915848593
Nakuru,14,-0.36398776257046805
Elementaita,22,-0.4155948002390872
Naivasha,34,0.4352936589281767
Turkana,27,0.5029372726799061
Magadi,10,-0.1545958819736313
