Year,Month,NDVI,Rainfall_mm
2020,1,0.37070172088040426,42.03522148084098
2020,2,0.3814846270214489,28.280614180148927
2020,3,0.3250927375684796,155.3976455741525
2020,4,0.3919896110009929,218.4098130658966
2020,5,0.5000597093513373,153.16021896915697
2020,6,0.4352935362128654,152.07867660014577
2020,7,0.4324214360987878,232.5788947441786
2020,8,0.39581394496339223,171.98984950532204
2020,9,0.41378967556640145,84.94270923986146
2020,10,0.3972078528054212,107.9270934623427
2020,11,0.36390013373646535,101.38575754937268
2020,12,0.2767623739947398,16.06909267157881
2021,1,0.20000764606040877,34.721445311487244
2021,2,0.17312873731885867,27.83392784297089
2021,3,0.23711651271791023,35.372646396892556
2021,4,0.17794381327863285,77.18200811152211
2021,5,0.42207932111863156,193.54550125806884
2021,6,0.34100497970790955,64.33224284030996
2021,7,0.23279753627584787,110.52370249607168
2021,8,0.3367119629539324,90.83797355970148
2021,9,0.3510885944153966,123.20902868046623
2021,10,,78.9075977660612
2021,11,0.3456417470772452,32.79808530252893
2021,12,0.3128459173197915,32.739459988440935
2022,1,0.3332890432983192,38.36502620815176
2022,2,0.3267013819037282,42.4243723432876
2022,3,0.3160037087140567,33.40385245915158
2022,4,0.23533226798619225,103.50695235026923
2022,5,0.5993789228183264,93.83840814583218
2022,6,0.4884423798060776,54.713720225504154
2022,7,,65.60595772691381
2022,8,0.4500029170168855,109.90715392048831
2022,9,0.5476791868534263,125.08278696274786
2022,10,0.37151510073983685,43.499826591626736
2022,11,,106.75175795934896
2022,12,0.34106357797345227,45.32910518429222
2023,1,0.29335120632788764,8.307243765530783
2023,2,0.38240904744510945,0.0
2023,3,0.3543774583388774,116.84247616479732
2023,4,0.47832235899005726,141.4405480889997
2023,5,0.608592660460389,86.91496546199137
2023,6,0.49584597055380214,74.66906242997547
2023,7,0.3900969620168202,59.140016593161484
2023,8,0.27012046749633434,61.183323538258165
2023,9,0.3555242546564827,95.91516657032345
2023,10,0.44168342268871497,85.50949023858033
2023,11,0.38205035488653655,121.49623458756207
2023,12,0.41214725382531714,15.637182361106053
2024,1,,51.36692206024671
2024,2,0.3578514826373353,47.85556333616621
2024,3,0.25264188775947544,39.4173532671633
2024,4,0.5670206813002693,228.11218623765868
2024,5,0.5006928148780663,232.8462868752582
2024,6,0.38831006853004096,47.569564111841615
2024,7,0.411369382638358,146.9820652140679
2024,8,0.4818977361546691,137.35391176672354
2024,9,0.3929513808968294,32.54903585791977
2024,10,0.3821409313597699,68.71138508902337
2024,11,,147.87012324954102
2024,12,0.3882290152394153,15.3235463662033
2025,1,0.23203122853022629,30.478947364575642
2025,2,0.23020237222400966,5.85294582298221
2025,3,0.3382462529585944,147.55963692622905
2025,4,0.5658929347189553,133.9289169986691
2025,5,0.5095429403691688,150.87047905445704
2025,6,0.43206767344665625,85.85993082048053
2025,7,0.4820148856344958,150.23679612620288
2025,8,0.5018253700677232,153.6165954707998
2025,9,0.41542141801345195,139.59046664039042
2025,10,0.3792534438824845,122.70566701904109
2025,11,0.36345864001558853,36.70119268701738
2025,12,0.2861389966605282,49.105239687315574
2026,1,0.31651121492402606,9.31857038900614
2026,2,0.2720154046216829,112.51226189163631
2026,3,0.45786981722912773,191.44036999966494
2026,4,0.5345918115960558,88.01292937865902
2026,5,0.4480961375452775,119.49936804703265
2026,6,0.38908235544795877,21.410773759545325
2026,7,0.35418984024055605,
2026,8,0.3259266684146989,
