Year,Month,Predicted_NDWI
2026,9,-0.2359
2026,10,-0.235
2026,11,-0.2368
2026,12,-0.2368
2027,1,-0.255
2027,2,-0.2554
2027,3,-0.2586
2027,4,-0.2586
2027,5,-0.2505
2027,6,-0.251
2027,7,-0.2605
2027,8,-0.2492
2027,9,-0.2359
2027,10,-0.235
2027,11,-0.2368
2027,12,-0.2368
